usage_start,product_code,usage_type,resource_id,tier,nodepool,unblended_cost_usd
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.73e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,3.44e-06
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-01ad8bda61d1630ef,apps-serving,apps-serving,2.6212e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,2.58e-06
2026-09-04T13:00:00Z,AmazonEC2,EUC1-USE1-AWS-Out-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,2.1813e-06
2026-09-04T13:00:00Z,AmazonS3,Requests-Tier2,,,,2e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,simple-rag-raw-docs-07f373d08a67,shared,,1.72e-06
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-01ad8bda61d1630ef,apps-serving,apps-serving,1.3706e-06
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,1.29e-06
2026-09-04T13:00:00Z,AmazonEC2,EUC1-EUW2-AWS-Out-Bytes,arn:aws:ec2:eu-central-1:790348267926:natgateway/nat-08e283a51761f1e9b,shared,,1.1679e-06
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0d1145c81b05cfc36,apps-compute,apps-compute,1.1051e-06
2026-09-04T13:00:00Z,AmazonEC2,EUC1-DataTransfer-Regional-Bytes,i-0d1145c81b05cfc36,apps-compute,apps-compute,9.785e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,8.6e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,8.6e-07
2026-09-04T13:00:00Z,AWSELB,EUC1-LCUUsage,arn:aws:elasticloadbalancing:eu-central-1:790348267926:loadbalancer/net/k8s-ragplatf-ciliumga-e24be0dc76/e249bbc0f0ca55f7,,,5.403e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.3e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.3e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.3e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.3e-07
2026-09-04T13:00:00Z,AmazonS3,EUC1-Requests-Tier2,qdrant-backups-simple-rag-ef15fcb37dd0,shared,,4.3e-07
