# Prometheus TSDB from orphaned volume vol-08044db097d9917e2 (09-04 cluster), queried at 2026-09-04T18:30:00Z
# method: volume mounted read-only on a temporary t3.medium (i-08c951c87d0b77ad6, self-terminated), Prometheus 3.5.0 on a copy, 2026-09-10
# format: PROBE|query|labels|value ; network in bytes/s over rate[10m], cpu in cores, apiserver in req/s
# hostNetwork pods (node-exporter, cilium*, eks-pod-identity-agent) report their node's interfaces, not their own traffic
PROBE|pod_node|namespace=kube-system pod=eks-pod-identity-agent-s5l6b node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-prometheus-node-exporter-4dv77 node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
PROBE|pod_node|namespace=kube-system pod=eks-pod-identity-agent-nl4cj node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-ffm74 node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-envoy-8nhn4 node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-envoy-qx8km node=ip-10-0-11-154.eu[   36.463887] cloud-init[2038]: PROBE|tx_by_pod|namespace=monitoring pod=monitoring-prometheus-node-exporter-49xft|1306523.1
PROBE|rx_by_pod|namespace=kube2038]: PROBE|apiserver|resource=leases verb=PUT|6.4
PROBE|pod_node|namespace=monitoring pod=monitoring-prometheus-node-exporter-tkhnc node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-vhs4s node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-promtail-wzg5m node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
PROBE|pod_node|namespace=kube-system pod=ebs-csi-node-2kpwr node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
PROBE|pod_node|namespace=kube-system pod=ebs-csi-node-m82lv node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|pod_node|namespace=rag-platform pod=tei-embeddings-74986d5f9c-4rfp6 node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
PROBE|pod_node|namespace=rag-platform pod=tei-embeddings-74986d5f9c-8tqvr node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-promtail-bcmd2 node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|pod_node|namespace=rag-api pod=api-558767889d-sdqd8 node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
PROBE|pod_node|namespace=rag-api pod=api-558767889d-676nv node=ip-10-0-10-215.eu-central-1.compute.internal host_ip=10.0.10.215|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=fargate-ip-10-0-11-4.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.11.4 job=kube-state-metrics|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=fargate-ip-10-0-11-11.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.11.11 job=kube-state-metrics|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=ip-10-0-10-222.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.10.222 job=kube-state-metrics|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=ip-10-0-10-217.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.10.217 job=kube-state-metrics|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=ip-10-0-12-86.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.12.86 job=kube-state-metrics|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=ip-10-0-11-37.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.11.37 job=kube-state-metrics|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=ip-10-0-11-154.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.11.154 job=kube-state-metrics|1.0
PROBE|node_ip|namespace=monitoring pod=monitoring-kube-state-metrics-57bf8c5797-tn7gt node=ip-10-0-10-215.eu-central-1.compute.internal instance=10.0.10.55:8080 internal_ip=10.0.10.215 job=kube-state-metrics|1.0
PROBE|pod_node|namespace=kube-system pod=ebs-csi-node-fn965 node=ip-10-0-12-86.eu-central-1.compute.internal host_ip=10.0.12.86|1.0
PROBE|pod_node|namespace=argocd pod=argocd-application-controller-0 node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-prometheus-node-exporter-s2t4w node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-loki-0 node=ip-10-0-11-37.eu-central-1.compute.internal host_ip=10.0.11.37|1.0
PROBE|pod_node|namespace=monitoring pod=monitoring-prometheus-node-exporter-79vlr node=ip-10-0-12-86.eu-central-1.compute.internal host_ip=10.0.12.86|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-tfblt node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=argocd pod=argocd-notifications-controller-687c8c4b9f-sx6fz node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-operator-8dc98466f-c54vl node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=kube-system pod=ebs-csi-controller-7588875979-crqnm node=ip-10-0-10-222.eu-central-1.compute.internal host_ip=10.0.10.222|1.0
PROBE|pod_node|namespace=kube-system pod=cilium-envoy-qx8km node=ip-10-0-11-154.eu-central-1.compute.internal host_ip=10.0.11.154|1.0
# --- manifest sizes as ArgoCD's repo-server renders them (helm template, 2026-09-10), for sizing the repo-server -> controller stream
MANIFEST|qdrant|chart qdrant 1.18.2 + backup CronJob + ServiceAccount|12382 bytes, 9 objects
MANIFEST|loki-stack|chart loki-stack 2.10.2|17517 bytes, 16 objects
MANIFEST|prometheus-stack|chart kube-prometheus-stack 61.3.0, --include-crds|3975771 bytes, 119 objects
MANIFEST|prometheus-stack|same, without CRDs|583285 bytes, 109 objects
# 1186163 B/s from argocd-repo-server = one 3.98 MB manifest set every ~3.35 s; qdrant's 12 KB would need ~96 fetches/s
